,Current,Voltage
1528509522549999979,2.5331780910491943,1.017893654837018
1528509522558333312,2.529327869415283,1.0178717365837786
1528509522566666645,2.5300276279449463,1.017868941212351
1528509522574999978,2.5314221382141113,1.0178864758149424
1528509522583333311,2.5309174060821533,1.0179033115746772
1528509522591666644,2.530254364013672,1.0179215450201258
1528509522599999977,2.529588460922241,1.0179222438629827
1528509522608333310,2.529953956604004,1.017922434456489
1528509522616666643,2.5325443744659424,1.0179139212798685
1528509522624999976,2.5333411693573,1.0179050904474038
1528509522633333309,2.5333411693573,1.0179050904474038
1528509522641666642,2.5333411693573,1.0179050904474038
1528509522649999975,2.5333411693573,1.0179050904474038
1528509522658333308,2.5333411693573,1.0179050904474038
1528509522666666641,2.5333411693573,1.0179050904474038
1528509522674999974,2.5333411693573,1.0179050904474038
1528509522683333307,2.5333411693573,1.0179050904474038
1528509522691666640,2.5333411693573,1.0179050904474038
1528509522699999973,2.5333411693573,1.0179050904474038
1528509522708333306,2.5333411693573,1.0179050904474038
1528509522716666639,2.5333411693573,1.0179050904474038
1528509522724999972,2.5333411693573,1.0179050904474038
1528509522733333305,2.5333411693573,1.0179050904474038
1528509522741666638,2.5333411693573,1.0179050904474038
1528509522749999971,2.5333411693573,1.0179050904474038
1528509522758333304,2.5333411693573,1.0179050904474038
1528509522766666637,2.5333411693573,1.0179050904474038
1528509522774999970,2.5333411693573,1.0179050904474038
1528509522783333303,2.5333411693573,1.0179050904474038
1528509522791666636,2.5333411693573,1.0179050904474038
1528509522799999969,2.5333411693573,1.0179050904474038
1528509522808333302,2.5333411693573,1.0179050904474038
1528509522816666635,2.5333411693573,1.0179050904474038
1528509522824999968,2.5333411693573,1.0179050904474038
1528509522833333301,2.5333411693573,1.0179050904474038
1528509522841666634,2.5333411693573,1.0179050904474038
1528509522849999967,2.5333411693573,1.0179050904474038
1528509522858333300,2.5333411693573,1.0179050904474038
1528509522866666633,2.5333411693573,1.0179050904474038
1528509522874999966,2.5333411693573,1.0179050904474038
1528509522883333299,2.5333411693573,1.0179050904474038
1528509522891666632,2.5333411693573,1.0179050904474038
1528509521541666646,2.288026809692383,1.013105374174961
1528509521549999979,2.288578987121582,1.0130901266944463
1528509521558333312,2.288839817047119,1.0131082330775574
1528509521566666645,2.282876968383789,1.0131501001178034
1528509521574999978,2.281632900238037,1.0131491471502712
1528509521583333311,2.284787178039551,1.0131212569671635
1528509521591666644,2.2890281677246094,1.0131447634996231
1528509521599999977,2.293410539627075,1.0131657287853306
1528509521608333310,2.287616014480591,1.013155563798321
1528509521616666643,2.2786271572113037,1.0131380291957293
1528509521624999976,2.278139352798462,1.0131501001178034
